"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033401;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HONDA BIZ, BRANCA";"12000,00";"03/12/2025";"13:11:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033402;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HONDA POP 110, 2022/2023";"10000,00";"03/12/2025";"13:11:14"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01040";"MARECHAL THAUMATURGO";10002069342;1;12;"Casa";"CASA CONSTRUIDA EM MADEIRA, MEDINDO 12 METROS DECOMPRIMENTO POR 6 DE LARGURA, UM BANHEIRO, DOISQUARTOS, SALA DE JANTAR E SALA DE VISITA";"100000,00";"06/10/2024";"21:13:13"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01040";"MARECHAL THAUMATURGO";10002069342;2;13;"Terreno";"TERRENO MEDINDO APROXIMADAMENTE 51 HECTARESLOCALIZADO NO RAMAL DO GELSON PA AMONIA";"200000,00";"06/10/2024";"21:13:13"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01040";"MARECHAL THAUMATURGO";10002069343;1;12;"Casa";"CASA EM ALVENARIA COM AS SEGUINTES MEDIDAS 10mx17m";"170000,00";"06/10/2024";"21:13:13"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01040";"MARECHAL THAUMATURGO";10002069343;2;29;"Outros bens móveis";"MOTOR DE RABETA  HONDA DE 13HP";"5000,00";"06/10/2024";"21:13:13"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01040";"MARECHAL THAUMATURGO";10002069343;3;99;"OUTROS BENS E DIREITOS";"20 CABEÇA DE GADO";"40000,00";"06/10/2024";"21:13:13"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210680;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto honda/biz modelo/ano 2017, cor cinza, placa QLX5521";"13500,00";"16/09/2024";"12:34:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210681;1;13;"Terreno";"CHÁCARA";"100000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210683;1;11;"Apartamento";"residencial 8x6m localizado no bairro chico paulo I";"10000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210684;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO ";"6000,00";"19/09/2024";"20:03:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210685;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HYUNDAI HB20, MODELO/ANO 2013, NA COR VERMELHA, PLACA NAG8221";"35000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210686;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 VEICULO caminhonete Ford Ranger Ano 2020/2021, cor cinza, placa QLY9F97";"150000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210686;2;13;"Terreno";"01 FAZENDA São Francisco de 90,9055 ha, perímetro 5.762,85m, localizada no ramal triunfo km04 de senador guiomard-ac.";"2500000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210686;3;99;"OUTROS BENS E DIREITOS";"400 bezerros de 12 a 15 meses da raça nelone";"680000,00";"06/10/2024";"19:13:32"
