"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"19/02/2021";1845018273;"AC";"Nota Fiscal";"623450";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";1;"Transferência eletrônica";40320420;27127804;"29/10/2020";"PRESTAÇÃO SERVIÇO DE PROPAGANDA E PUBLICIDADE 2020";"6523,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"27/01/2021";1851570648;"AC";"Nota Fiscal";"141731";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";40021280;26871516;"16/11/2020";"GASOLINA COMUM C";"974,20"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"27/01/2021";1851570648;"AC";"Nota Fiscal";"031455";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";1;"Transferência eletrônica";40021287;26871518;"03/11/2020";"SERVIÇO DE MILITANCIA ELEIÇÕES 2020";"1050,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1848679427;"AC";"Nota Fiscal";"6427";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";1;"Transferência eletrônica";38936688;25993921;"12/11/2020";"SERVIÇOS CONTÁBEIS";"2000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/06/2021";1844007945;"AC";"Nota Fiscal";"85009";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";40748262;27499831;"13/11/2020";"SERVIÇOS DE ASSISTENCIA NA CAMPANHA ELEITORAL";"800,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"22/01/2021";1845035618;"AC";"Nota Fiscal";"900002";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";39907968;26783986;"27/10/2020";"HONORARIOS CONTABEIS";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/06/2021";1844007945;"AC";"Nota Fiscal";"850007";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";40748290;27499841;"13/11/2020";"SERVIÇOS DE ASSISTENCIA NA CAMPANHA ELEITORAL";"800,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/06/2021";1844007945;"AC";"Nota Fiscal";"850018";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";40748277;27499848;"20/11/2020";"AGUA MINERAL 500 ML | AGUA MINERAL GARRAFÃO | REFEIÇÃO | REFRIGERANTE COCA - COLA";"3138,05"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"01/10/2021";1837592547;"AC";"Nota Fiscal";"850002";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";41157380;27848678;"12/11/2020";"GASOLINA COMUN";"7550,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"08/09/2021";1846979604;"AC";"#NULO";"111201";1;"Outros Recursos";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";41011957;27724384;"12/11/2020";"#NULO";"2000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"01/10/2021";1837592547;"AC";"Nota Fiscal";"850001";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";41157381;27848675;"12/11/2020";"ADESIVOS TAM 9X6CM UN 29.000·00";"2450,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1843224403;"AC";"Nota Fiscal";"900003";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";38068472;25299071;"09/11/2020";"SERVIÇOS DE MILITANCIA· DISTRIBUIÇÃO DE SANTINHOS";"600,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"09/12/2020";1831791526;"AC";"Nota Fiscal";"850002";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";35460450;23151548;"06/11/2020";"DIESEL COMUM | GASOLINA COMUM";"28695,46"
